algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,702341,6059180.806938829,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,712375,6149279.206939602,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,722408,6239368.627630031,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,732441,6329458.048320459,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,742475,6388249.448321233,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,752508,6431834.869011661,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,762542,6521933.269012434,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,772575,6612022.689702863,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,782609,6702121.089703636,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,792642,6792210.510394065,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,802676,6882308.910394838,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,812709,6972398.331085267,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,822742,7062487.751775695,distributed_exploration_phase5,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,832776,7144456.151776468,distributed_exploration_phase6,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,842809,7149318.572466897,distributed_exploration_phase6,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,852843,7225157.97246767,distributed_exploration_phase6,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,862876,7315247.393158099,distributed_exploration_phase6,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,872910,7405345.793158872,distributed_exploration_phase6,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,882943,7427128.2138493005,distributed_exploration_phase7,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,892977,7430964.613850074,distributed_exploration_phase7,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,903010,7497117.034540502,distributed_exploration_phase7,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,913043,7587206.455230931,distributed_exploration_phase7,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,923077,7644360.855231704,distributed_exploration_phase8,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,933110,7646902.275922133,distributed_exploration_phase8,0,1
