algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
huang2022,10,4,1000000,7.238241365054197e-08,1,8,20260518,298142.6666664973,184980.0,157540,30580,10800,6580,13200,126960,94162,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,8,20260518,298142.6666664973,184980.0,157540,30580,10800,6580,13200,126960,94162,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,8,20260518,187661.53333451264,246695.0,141638,21410,11520,3290,6600,120228,59927,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,8,20260518,239138.60000099277,149083.0,126594,19734,12920,2194,4620,106860,76778,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,8,20260518,450294.86666567053,154691.0,197278,35578,25688,3290,6600,161700,147009,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,8,20260518,478659.199998798,168064.0,210888,34664,26752,2632,5280,176224,153247,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,9,20260519,300066.93333312706,190336.0,159914,30580,10800,6580,13200,129334,94330,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,9,20260519,300066.93333312706,190336.0,159914,30580,10800,6580,13200,129334,94330,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,9,20260519,188437.7333345675,258026.0,145586,21410,11520,3290,6600,124176,59770,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,9,20260519,253907.33333488178,259698.0,167480,19734,12920,2194,4620,147746,80597,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,9,20260519,464904.26666556305,161352.0,204214,35578,25688,3290,6600,168636,151074,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,9,20260519,480955.3999982833,267483.0,244056,34664,26752,2632,5280,209392,154670,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,10,20260520,294161.99999982415,189942.0,157860,30580,10800,6580,13200,127280,92514,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,10,20260520,294161.99999982415,189942.0,157860,30580,10800,6580,13200,127280,92514,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,10,20260520,192770.06666791858,258171.0,147046,21410,11520,3290,6600,125636,60942,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,10,20260520,254066.3333348805,259539.0,167480,19734,12920,2194,4620,147746,80715,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,10,20260520,491294.59999820386,272287.0,248994,35578,25688,3290,6600,213416,158942,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,10,20260520,446100.93333235953,156082.0,196364,34664,26752,2632,5280,161700,143324,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,11,20260521,298128.6666664968,184994.0,157540,30580,10800,6580,13200,126960,94203,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,11,20260521,298128.6666664968,184994.0,157540,30580,10800,6580,13200,126960,94203,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,11,20260521,184976.93333406094,147462.0,108404,21410,11520,3290,6600,86994,59414,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,11,20260521,494388.1999987187,169861.0,216603,40379,26752,4387,9240,176224,161147,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,11,20260521,462209.3333317439,263824.0,236750,37858,27968,3290,6600,198892,150071,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,11,20260521,484568.5333315974,271328.0,246488,37096,29184,2632,5280,209392,154983,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,12,20260522,290546.6000002219,114695.0,132144,30580,10800,6580,13200,101564,93001,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,12,20260522,290546.6000002219,114695.0,132144,30580,10800,6580,13200,101564,93001,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,12,20260522,187676.80000076396,152852.0,111042,21410,11520,3290,6600,89632,59832,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,12,20260522,242297.1333343617,154597.0,129422,19734,12920,2194,4620,109688,77192,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,12,20260522,473849.7333316531,266462.0,241406,35578,25688,3290,6600,205828,153224,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,12,20260522,476457.9333316124,272557.0,244244,34664,26752,2632,5280,209580,152401,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,13,20260523,297942.66666649736,185180.0,157540,30580,10800,6580,13200,126960,94166,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,13,20260523,297942.66666649736,185180.0,157540,30580,10800,6580,13200,126960,94166,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,13,20260523,184766.93333406057,147672.0,108404,21410,11520,3290,6600,86994,59345,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,13,20260523,249503.66666817243,254595.0,164380,19734,12920,2194,4620,144646,79822,1,1,1,0,0,1,0
