algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,234114,507020.7600023376,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,237458,514845.7200024233,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,240803,522673.02000250894,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,244147,530497.9800024402,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,247492,538325.2800023311,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,250836,546150.2400022221,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,254181,553283.5400021131,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,257525,557098.5000020041,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,260870,563365.800001895,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,264214,571190.760001786,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,267559,579018.060001677,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,270903,586843.020001568,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,274247,594667.980001459,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,277592,602495.28000135,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,280936,610320.240001241,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,284281,618147.540001132,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,287625,625972.5000010229,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,290970,633799.8000009139,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,294314,641624.7600008049,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,297659,649452.0600006959,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,301003,657277.0200005869,distributed_exploration_phase4,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,304348,662680.3200004778,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,307692,666419.2800003688,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,311037,670145.5800002598,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,314381,676010.5400001508,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,317726,683837.8400000418,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,321070,691662.7999999328,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,324415,699490.0999998237,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,327759,707315.0599997147,distributed_exploration_phase5,0,1
